ProductID	xLocation	yLocation
1	2	0
45	10	14
74	10.2	8
102	14.6	8
149	8	8
172	6.4	8
219	20.2	8
231	18.8	8
290	17	10
302	6	12
359	14.8	12
364	10.4	10
444	16.4	4
485	6.4	16
515	6.64	10
517	8.66	10
571	16.6	6
610	8.4	8
623	10.2	12
633	16.2	8
636	10.84	10
656	6.64	10
670	10.6	10
694	8.4	14
697	6.62	10
699	8.2	6
800	8.6	10
817	18.2	10
835	16	8
903	8	8
922	10.4	6
977	2.2	0
995	14.2	2
1019	16.6	10
1025	6	8
1033	20.4	8
1045	18.2	6
1053	16.2	6
1137	10.6	10
1138	8.8	6
1196	8.6	10
1210	8	12
1236	14.6	6
1253	14.8	12
1254	8.4	8
1282	8	8
1321	16	4
1336	10.2	8
1355	12.2	4
1365	8.2	14
1387	14.8	12
1399	8.6	10
1407	10.8	10
1451	6.4	12
1452	8.2	8
1466	10	8
1469	10.4	10
1479	8.4	8
1500	10.4	8
1518	8.6	6
1519	16.2	4
1520	6.2	14
1561	10.2	8
1578	14.6	6
1582	20.4	2
1651	10.4	8
1683	18.8	8
1738	12	4
1829	8.2	14
1885	10.82	10
1914	12.2	8
1948	10.4	10
1958	10.2	12
2010	8.4	8
2029	8.2	12
2050	8.4	10
2058	16.2	8
2059	14.4	14
2067	16.2	10
2176	14.4	14
2180	10.2	10
2222	6.6	6
2227	10.8	8
2260	10	14
2261	8.8	8
2339	11	8
2351	14.2	6
2362	10.2	14
2367	14.2	2
2407	10.2	8
2556	10.8	8
2671	8.4	8
2686	16.6	10
2713	12	8
2826	8.8	8
2883	16.6	6
2927	12	14
2928	10.6	10
2946	10	8
2947	10.2	8
2973	6.4	10
2982	14	6
3013	8.4	10
3047	6.2	6
3210	10.2	8
3221	18.4	14
3255	6.6	12
3293	14.6	12
3296	14	12
3315	6	8
3317	10.4	10
3326	18.4	6
3352	8.4	14
3353	8.4	6
3358	8.2	4
3401	20.4	14
3504	12.2	8
3547	12.4	12
3564	12.8	12
3568	12.2	8
3611	10	8
3632	14.6	6
3716	10.6	4
3721	14.4	10
3726	10.2	12
3749	14.4	6
3764	21.2	6
3791	12.2	8
3900	27.98	18
3922	6.6	10
3967	6.64	10
3979	20.4	4
3992	18.4	6
4016	20.2	8
4063	8.4	14
4086	10.4	16
4103	18.8	8
4107	6.2	14
4167	4	4
4197	18.8	8
4211	6.66	10
4240	10.2	6
4258	12.2	4
4275	16.2	8
4319	11	8
4362	16.6	6
4365	8.2	12
4369	14.6	8
4402	7.4	10
4455	8.4	8
4568	8	8
4579	14	12
4608	9.2	10
4619	27.98	18
4645	6.66	10
4663	14.6	4
4674	20	10
4677	10	8
4722	10.6	8
4725	16.6	12
4731	12.6	12
4739	6.2	12
4740	14.6	6
